,Release Date,Title,Genre,Runtime,Budget,Revenue
250,2000-03-17,Erin Brockovich,Drama,131.0,52000000.0,256271286.0
251,2000-05-01,Gladiator,Action,155.0,103000000.0,465361176.0
252,2000-03-23,Traffic,Thriller,147.0,48000000.0,207515725.0
253,2001-12-11,A Beautiful Mind,Drama,135.0,60000000.0,313542341.0
254,2001-11-07,Gosford Park,Drama,131.0,19800000.0,87754044.0
255,2001-11-23,In the Bedroom,Drama,130.0,1700000.0,0.0
256,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,Adventure,178.0,93000000.0,871368364.0
257,2001-05-24,Moulin Rouge!,Drama,127.0,52500000.0,179213434.0
258,2002-12-26,Chicago,Comedy,113.0,45000000.0,306776732.0
259,2002-12-14,Gangs of New York,Drama,167.0,100000000.0,193772504.0
260,2002-12-27,The Hours,Drama,114.0,25000000.0,41597830.0
261,2002-12-18,The Lord of the Rings: The Two Towers,Adventure,179.0,79000000.0,926287400.0
262,2002-09-17,The Pianist,Drama,150.0,35000000.0,120072577.0
263,2003-12-01,The Lord of the Rings: The Return of the King,Adventure,201.0,94000000.0,1118888979.0
264,2003-09-18,Lost in Translation,Drama,102.0,4000000.0,119723856.0
265,2003-11-14,Master and Commander: The Far Side of the World,Adventure,138.0,150000000.0,212011111.0
266,2003-10-07,Mystic River,Thriller,138.0,25000000.0,156822020.0
267,2003-07-22,Seabiscuit,Drama,141.0,87000000.0,148336445.0
268,2004-12-17,The Aviator,Drama,170.0,110000000.0,213719942.0
269,2004-10-17,Finding Neverland,Drama,106.0,25000000.0,116766556.0
270,2004-12-15,Million Dollar Baby,Drama,132.0,30000000.0,216763646.0
271,2004-10-29,Ray,Drama,152.0,40000000.0,124731534.0
272,2004-10-22,Sideways,Comedy,127.0,16000000.0,109502303.0
273,2005-09-10,Brokeback Mountain,Drama,134.0,14000000.0,178043761.0
274,2005-09-30,Capote,Crime,114.0,7000000.0,49084830.0
275,2005-05-06,Crash,Drama,112.0,6500000.0,98410061.0
276,2005-09-16,"Good Night, and Good Luck.",Drama,93.0,7000000.0,54600000.0
277,2005-12-23,Munich,Drama,164.0,70000000.0,130358911.0
278,2006-09-08,Babel,Drama,143.0,25000000.0,135330182.0
279,2006-10-05,The Departed,Drama,151.0,90000000.0,291465034.0
280,2006-12-19,Letters from Iwo Jima,Action,141.0,19000000.0,68673228.0
